"primerid" "Pr(>Chisq)" "coef" "FDR"
"Best2" 4.55999932568865e-24 -0.889289822815951 2.04835169709934e-22
"CAH16" 7.39413519769502e-05 -0.324673565245531 0.000241384122878241
"CG10019" 3.31290762129622e-08 -0.326806238095551 2.15051749058709e-07
"CG10077" 6.89561363183361e-35 -1.20902068920133 7.15887255467068e-33
"CG11037" 3.60766293830968e-06 0.384287089014477 1.57031220144255e-05
"CG11598" 2.51544154123215e-06 0.331962285799685 1.14366026348328e-05
"CG11980" 2.06759898881304e-05 -0.247389567504577 7.71399888517291e-05
"CG11999" 5.59982379733436e-07 0.263038694734038 2.88467987358096e-06
"CG12075" 0.0030643577864269 -0.191720243567963 0.00719931756099876
"CG12828" 1.79892267144947e-08 0.349487991682508 1.20969470660943e-07
"CG1316" 3.49988460552776e-09 -0.502056726533022 2.69203452877238e-08
"CG13364" 1.14281569572359e-05 0.177417249986125 4.42545526309513e-05
"CG14277" 0.000519901856573142 -0.223475753153323 0.0014068669516425
"CG15431" 5.42341490071349e-07 -0.367782081824735 2.80667969285772e-06
"CG15539" 0.00349012681887278 -0.226814501812366 0.00795012660769601
"CG15635" 0.00153184388426076 0.254379529278184 0.00383131555016666
"CG15641" 7.93760147153462e-24 0.758939042352782 3.30145424167903e-22
"CG15642" 0.00254284860826522 -0.176914910732774 0.00607578507889753
"CG1701" 0.00421918707951985 0.122893770748358 0.00945737942175806
"CG17472" 9.89349419257431e-09 0.442966271775166 7.12204742196215e-08
"CG17834" 4.47021662934507e-09 -0.372568933132831 3.41500222772416e-08
"CG17883" 0.000258951730262297 -0.166206121810279 0.000755331930089764
"CG2839" 0.00279502955145238 -0.24304664686656 0.00662197929595153
"CG2852" 2.57374362909537e-09 0.485750214128509 2.04986815281851e-08
"CG2918" 3.64431696062974e-11 0.412086572109688 3.65407852391714e-10
"CG30339" 0.0034244337989332 -0.148593727584207 0.00784824317592242
"CG31418" 1.32801865713941e-12 -0.627816079367626 1.69473289996314e-11
"CG31419" 4.86945117932702e-05 0.291667746041427 0.00016372436150851
"CG31496" 0.00156414976489017 0.169188751571512 0.00390342263549258
"CG31515" 0.00317338977559637 0.132986880176736 0.00739360314936664
"CG31680" 0.000466133037788595 0.253342332793132 0.00127055194523445
"CG31704" 0.000582370845193847 0.163041154511444 0.00156459918457581
"CG31712" 0.0044883754785264 -0.172006072496918 0.00998108051957456
