"primerid" "Pr(>Chisq)" "coef" "FDR"
"Acp63F" 5.88893227092704e-151 0.737160300606723 2.97142751212559e-149
"Acp76A" 3.49040132527035e-68 0.599820539267136 5.47483174166001e-67
"Acp95EF" 1.35245229349487e-193 0.74029464847072 1.20512132024607e-191
"Acp98AB" 1.35726271492602e-136 0.629127459300973 5.86001675269092e-135
"Acph-1" 0.000172749816763834 0.0304312068493119 0.000246920215906805
"Acsl" 2.56503944707431e-22 -0.333749280381408 9.85539927004329e-22
"Act42A" 1.92442937084347e-05 0.0172562667127487 2.96851204607457e-05
"Act57B" 9.08803313131622e-15 0.0613361838090154 2.39375363232405e-14
"Act5C" 1.28521108061317e-12 0.20192873617319 3.00193196074063e-12
"Act87E" 2.24930674753101e-15 0.07229737379054 6.10901210029824e-15
"Acyp2" 8.03478676609038e-06 0.0489597139049248 1.27268105054412e-05
"AdSS" 2.97898355499268e-14 0.126946579181082 7.64928456671326e-14
"Adar" 6.60744203680891e-40 -0.26949832975202 4.86326313710996e-39
"Adck1" 5.63374913209966e-08 0.185963296584866 1.01786632291775e-07
"Adi1" 1.67600228741443e-18 0.122160046398875 5.26169233859941e-18
"AdipoR" 2.99189402733984e-11 0.113361931269608 6.47213439385292e-11
"Adk1" 2.11448198780874e-11 0.0273567646875944 4.62667218649061e-11
"Adk2" 2.86131359697612e-12 0.0813346507040611 6.57693816911964e-12
"Ae2" 0.00804349657251005 -0.0172931484768296 0.00997812904196449
"Afti" 2.37626693804349e-07 -0.0456671660304119 4.11061790025862e-07
"Agpat3" 5.68728584009907e-09 0.0958665973606045 1.09208404852521e-08
"Agpat4" 0.00472206651809021 0.0272462189508136 0.00599273169023085
"Ahcy" 3.59850468104739e-06 0.0475944820692936 5.81425061891453e-06
"AhcyL1" 1.42705145950617e-07 0.102833569054726 2.50691758070966e-07
"Akap200" 8.21428233053785e-09 -0.1094502675833 1.56370065455875e-08
"Akr1B" 1.09743291110307e-05 0.0326593171089348 1.72524363051789e-05
"Akt1" 0.00124726664172165 0.0294638171236376 0.00166951141689053
"AlaRS" 9.97816355650563e-06 0.0255588655083851 1.57218017210856e-05
"Alas" 6.64798520529887e-18 0.059346972119589 2.02928294750668e-17
"Ald1" 3.39740535034158e-12 0.211299267123111 7.75386027641991e-12
"Aldh" 0.00104339070700553 0.0554179384312144 0.00140685018523627
"Aldh-III" 9.12679638495305e-09 0.208158386367973 1.72776782531974e-08
"Alg-2" 0.000606922031499594 -0.0742096951513114 0.000831193416586102
"Alg1" 1.49466557423521e-14 0.0702939579739746 3.88557382054442e-14
"Alg11" 1.54407005498866e-20 0.103220246933651 5.4432368605156e-20
"Alg14" 0.000570462861159755 0.0309557110709283 0.000782285023751492
"Alg2" 1.47300396640518e-18 0.0847781529357945 4.64179128013913e-18
"Alh" 1.21290144627018e-22 -0.109735161225013 4.73846199345102e-22
"Alp4" 3.37011915391512e-21 0.241965308033744 1.22199645165338e-20
"Amacr" 2.02352610139804e-06 0.0505936336668891 3.30262171186866e-06
"Ance-3" 8.39043118537857e-23 0.0279350364026171 3.30876890813234e-22
"Ank" 0.00222894059240222 0.004394443642483 0.0029171260003064
"Anp" 1.49519700765132e-193 0.953985819788252 1.30455938917578e-191
"AnxB11" 8.13561197264815e-12 0.125875481022407 1.81620164933105e-11
"AnxB9" 1.97526253088695e-13 -0.0724767633161009 4.84900321181392e-13
"Appl" 7.53567471475447e-20 -0.0607801246173254 2.53692971908294e-19
"Aps" 1.03104544778055e-56 -0.625497003664768 1.21292649868116e-55
"Arc1" 7.95228048758805e-48 0.188033859543946 7.45059299374021e-47
"Archease" 5.40601447040005e-08 0.0508067598952524 9.77564274699284e-08
"Arf102F" 4.35989505367311e-20 0.176713987767682 1.49298777471651e-19
"Arf79F" 3.95312621812477e-08 0.17173049843083 7.22640445286187e-08
"ArfGAP1" 2.85134414121466e-18 0.10172818400874 8.85862705000519e-18
"ArfGAP3" 2.58801679919585e-06 0.0555671455459082 4.20427244182787e-06
