gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AP-2mu,89.692300444676,-0.0711129105498327,0.141890066804052,-0.501183149402831,0.616242232253437,0.837512485038507
AP-2sigma,184.983524300361,-0.260381150965676,0.0904190691117767,-2.879715015024,0.0039803478298494,0.0353183182000298
APC10,2.06111448989825,-0.0973291316562959,0.911354968159792,-0.106796072942712,0.914950762996305,NA
APC4,1.1421607042089,0.308529041970021,0.954128125671122,0.323362275640922,0.74642089581809,NA
APC7,0,NA,NA,NA,NA,NA
APP-BP1,100.693280664951,0.252828542162967,0.129602094078763,1.95080599553674,0.051080128373075,0.216942718385802
AQP,0.97142568322356,-0.254652252591788,1.33934233770539,-0.190132310032152,0.849205452112609,NA
ASPP,1534.79988984653,0.073882612895337,0.112239128377983,0.658260750622774,0.510370593968558,0.778283070475523
ATP6AP2,644.435294494728,-0.199258066453964,0.0656508478521683,-3.0351179455085,0.00240441638467977,0.023902920807807
ATP7,94.701313834939,0.143472325339407,0.138593584506478,1.0352017797238,0.300574687817028,0.600571664811784
ATP8A,1323.51725642788,0.0871417925013399,0.100021679728334,0.871229044923292,0.383629103979531,0.68028394980185
ATP8B,1114.21659959163,0.15299496374835,0.0621533041865067,2.46157409892883,0.0138328820446792,0.089397764333153
ATPCL,409.034500473437,0.0112174041024723,0.0855765151633398,0.131080403087946,0.895711703462097,0.960096342037661
ATPsynB,779.614828316432,-0.267109375588527,0.106317865753847,-2.51236585398501,0.0119924689381522,0.0799168465777778
ATPsynC,2728.87904776371,-0.199651769024358,0.053192003511537,-3.75341697706601,0.000174440324644661,0.00280221245571567
ATPsynCF6,765.058082645952,-0.242126655181575,0.104734225582961,-2.31181978798118,0.0207876164766771,0.119299278470646
ATPsynCF6L,1.24009317017692,0.13701270386613,1.12111104907232,0.122211536474913,0.902731490157631,NA
ATPsynD,757.782473123391,-0.231071236098015,0.0696638457100172,-3.31694631186272,0.000910071027691523,0.0109905368343982
ATPsynE,711.42133078078,-0.358080749374924,0.0998680272579685,-3.58553942844959,0.000336382173818292,0.00471647992076244
ATPsynF,1132.83953998711,-0.460001715369041,0.097350269955584,-4.72522280193898,2.29863192605791e-06,7.33646689733483e-05
ATPsynG,1297.42395851721,-0.19879208556896,0.0402609093533316,-4.9375955178844,7.90916709727044e-07,2.90681863468874e-05
ATPsynO,502.580581407446,-0.356328271556329,0.0926362011729411,-3.84653372056033,0.000119800649514658,0.00203689094980881
ATPsynbeta,2283.50497532631,-0.038237774588079,0.197981531667913,-0.193138088517355,0.846850823866651,0.94328434789371
ATPsynbetaL,0,NA,NA,NA,NA,NA
ATPsyndelta,609.323388238644,-1.34028608363331,0.0866491623876105,-15.4679635290387,5.70845262336561e-54,4.61560108224795e-51
ATPsynepsilonL,0,NA,NA,NA,NA,NA
ATPsyngamma,577.150617363853,-0.298806697106452,0.169580902521494,-1.76203035049055,0.0780641697022997,0.283714999671405
ATbp,1.03218735104973,0.0465766962729421,1.07854386348852,0.0431847955838262,0.96555422514831,NA
Aasdh,106.553757602388,0.0141374661791542,0.107240241141271,0.131829861894197,0.895118866304918,0.959892660311056
